time,stress
4014.370609,18.8077326
4014.472615,18.8168818
4014.574621,18.8006165
4014.676626,18.7975668
4014.778632,18.8265393
4014.880638,18.8346719
4014.982644,18.8133237
4015.08465,18.8051911
4015.186656,18.7990916
4015.288662,18.8021414
4015.390667,18.8092574
4015.492673,18.7950253
4015.595679,18.7940087
4015.698685,18.8107823
4015.802691,18.8107823
4015.904697,18.8087491
4016.005703,18.8275559
4016.107709,18.8265393
4016.208714,18.8046828
4016.30972,18.8087491
4016.411726,18.8051911
4016.513732,18.8173901
4016.615737,18.8173901
4016.717743,18.8153569
4016.821749,18.806716
4016.925755,18.8133237
4017.027761,18.8123072
4017.129767,18.8158652
4017.231772,18.8107823
4017.333778,18.8204398
4017.435784,18.8199315
4017.53779,18.8209481
4017.639796,18.8153569
4017.742802,18.8178984
4017.846808,18.8178984
4017.948813,18.8163735
4018.04982,18.8275559
4018.150825,18.806716
4018.251831,18.810274
4018.352837,18.8214564
4018.454843,18.8265393
4018.556849,18.8255227
4018.658854,18.8290807
4018.76086,18.8468709
4018.862866,18.8402631
4018.964871,18.8336553
4019.066877,18.8341636
4019.168883,18.8311139
4019.271889,18.8392465
4019.375895,18.8433128
4019.477901,18.8245061
4019.579907,18.829589
4019.681912,18.8438211
4019.783918,18.8270476
4019.885924,18.822473
4019.98793,18.829589
4020.089936,18.8316222
4020.190942,18.8311139
4020.291947,18.8336553
4020.394953,18.8372134
4020.496959,18.8458543
4020.598965,18.8377216
4020.700971,18.8387382
4020.802977,18.8300973
4020.904983,18.8367051
4021.006989,18.8245061
4021.108994,18.8173901
4021.211,18.8280641
4021.313006,18.8306056
4021.415012,18.8189149
4021.517018,18.8306056
4021.622024,18.8361968
4021.72403,18.8351802
4021.826035,18.8321305
4021.928041,18.8270476
4022.030047,18.8387382
4022.132053,18.8428045
4022.234059,18.8021414
4022.336064,18.8051911
4022.43807,18.8250144
4022.540076,18.8341636
4022.642082,18.845346
4022.744088,18.8367051
4022.846094,18.8072243
4022.9481,18.8097657
4023.050105,18.8194232
4023.152111,18.8290807
4023.254117,18.8316222
4023.356123,18.8387382
4023.458129,18.8184066
4023.561134,18.8117989
4023.665141,18.8255227
4023.767146,18.8245061
4023.869152,18.7990916
4023.971158,18.8194232
4024.073164,18.8316222
4024.17517,18.8311139
4024.277175,18.8239978
4024.379181,18.8255227
4024.482187,18.8117989
4024.586193,18.8194232
4024.688199,18.8189149
4024.790205,18.8229812
4024.892211,18.8280641
4024.996217,18.8123072
4025.100223,18.8255227
4025.202229,18.8214564
4025.304234,18.8153569
4025.40624,18.8356885
4025.508246,18.8367051
4025.610252,18.833147
4025.712257,18.8143403
4025.814263,18.8326387
4025.917269,18.8448377
4026.022275,18.8428045
4026.123281,18.8448377
4026.224287,18.8438211
4026.325293,18.8214564
4026.427299,18.8326387
4026.529305,18.8382299
4026.63131,18.8361968
4026.733316,18.8275559
4026.835322,18.8316222
4026.937327,18.8321305
4027.040334,18.8270476
4027.14434,18.8382299
4027.247345,18.8565284
4027.349351,18.8433128
4027.451357,18.8407714
4027.553363,18.8351802
4027.655369,18.8402631
4027.757374,18.8382299
4027.85938,18.841788
4027.961386,18.8499206
4028.062392,18.8397548
4028.164398,18.833147
4028.266404,18.8311139
4028.36941,18.8494123
4028.471416,18.8555118
4028.573421,18.841788
4028.675427,18.8372134
4028.777433,18.8473791
4028.879439,18.8372134
4028.981444,18.8275559
4029.08345,18.8428045
4029.185456,18.868219
4029.287462,18.8438211
4029.389468,18.8443294
4029.491474,18.8550035
4029.59348,18.8534786
4029.695486,18.8661859
4029.797491,18.8539869
4029.899497,18.8494123
4030.001503,18.8478874
4030.102509,18.8433128
4030.203515,18.845346
4030.30552,18.8570367
4030.407526,18.8377216
4030.509532,18.841788
4030.612538,18.8585615
4030.716544,18.8560201
4030.81855,18.8626278
4030.920556,18.8656776
4031.022562,18.8794014
4031.124567,18.8860092
4031.226573,18.8814346
4031.328579,18.8717771
4031.430584,18.8819428
4031.53259,18.8951584
4031.634596,18.9012578
4031.736602,18.8926169
4031.838608,18.8778765
4031.940614,18.8743185
4032.04262,18.8758434
4032.144625,18.8753351
4032.245631,18.8692356
4032.347637,18.8763517
4032.449643,18.8672024
4032.551649,18.8712688
4032.653655,18.8794014
4032.755661,18.8666942
4032.858666,18.8702522
4032.962672,18.8834677
4033.064678,18.883976
4033.166684,18.8788931
4033.26869,18.8814346
4033.370696,18.9017661
4033.472702,18.8910921
4033.574707,18.8712688
4033.676713,18.8783848
4033.779719,18.8844843
4033.883725,18.8666942
4033.985731,18.8829594
4034.087737,18.8819428
4034.188743,18.8692356
4034.291748,18.8733019
4034.393754,18.8829594
4034.49676,18.868219
4034.600766,18.8783848
4034.702772,18.8717771
4034.804778,18.8763517
4034.906784,18.880418
4035.00879,18.8621195
4035.110795,18.8748268
4035.212801,18.861103
4035.314807,18.864661
4035.417813,18.8641527
4035.522819,18.8641527
4035.624825,18.8687273
4035.726831,18.8656776
4035.828836,18.8722853
4035.929842,18.8651693
4036.030848,18.8783848
4036.132854,18.8712688
4036.23386,18.8621195
4036.335865,18.8641527
4036.437871,18.8504289
4036.540877,18.8483957
4036.644883,18.8672024
4036.746889,18.8626278
4036.848895,18.8544952
4036.950901,18.8422963
4037.052906,18.8519538
4037.154912,18.8560201
4037.257918,18.8692356
4037.361924,18.8712688
4037.46393,18.8641527
4037.565936,18.8600864
4037.667942,18.8748268
4037.769947,18.8677107
4037.871953,18.8616113
4037.973959,18.8504289
4038.075965,18.8631361
4038.176971,18.8707605
4038.278976,18.861103
4038.380982,18.8580532
4038.482988,18.8753351
4038.584994,18.8844843
4038.687,18.8722853
4038.789006,18.8626278
4038.891011,18.8641527
4038.993017,18.8707605
4039.095023,18.8783848
4039.197029,18.8885506
4039.299035,18.8809263
4039.401041,18.8717771
4039.503047,18.8677107
4039.605052,18.8814346
4039.707058,18.8707605
4039.809064,18.8616113
4039.91107,18.8763517
4040.014076,18.8702522
4040.115081,18.8788931
4040.216087,18.8956667
4040.318093,18.8976998
4040.421099,18.9012578
4040.523105,18.9043076
4040.625111,18.9027827
4040.727116,18.8976998
4040.829122,18.8982081
4040.931128,18.9185397
4041.033134,18.9098988
4041.13514,18.887534
4041.237145,18.8809263
4041.339151,18.8819428
4041.441157,18.8855009
4041.543163,18.8890589
4041.645169,18.8992247
4041.747175,18.906849
4041.849181,18.9063407
4041.951186,18.896175
4042.053192,18.9149817
4042.155198,18.9195563
4042.257204,18.922606
4042.35921,18.91549
4042.461216,18.9088822
4042.563222,18.91549
4042.665227,18.9220977
4042.767233,18.9165065
4042.869239,18.9002413
4042.971245,18.8971915
4043.07325,18.9058325
4043.175256,18.9165065
4043.277262,18.9109154
4043.379268,18.9078656
4043.482274,18.9114236
4043.58628,18.9297221
4043.688286,18.9007496
4043.790291,18.9012578
4043.892297,18.9002413
4043.994303,18.896175
4044.096309,18.903291
4044.197315,18.9124402
4044.299321,18.9017661
4044.401327,18.9175231
4044.503332,18.9200646
4044.606338,18.9220977
4044.710344,18.9220977
4044.81235,18.9134568
4044.914356,18.9109154
4045.016362,18.919048
4045.118368,18.9236226
4045.222374,18.91549
4045.324379,18.934805
4045.426385,18.9302304
4045.528391,18.9124402
4045.630397,18.926164
4045.732403,18.9414127
4045.834408,18.9337884
4045.936414,18.9444625
